Order_ID,Order_Date,Segment,Region,State,City,Category,Subcategory,Product,Quantity,Sales,Discount,Profit,Year,Month,Month_Name,Year_Month,Profit_Margin,Order_Month
ORD-00001,2025-11-10,Consumer,South,New York,Atlanta,Technology,Copiers,USB Hub,7,679.83,0.0,105.8,2025,11,Nov,2025-11,0.15562714207963754,2025-11
ORD-00002,2025-03-16,Corporate,East,Georgia,Miami,Technology,Accessories,USB Hub,2,289.1,0.0,34.68,2025,3,Mar,2025-03,0.11995849187132479,2025-03
ORD-00003,2023-07-09,Home Office,South,Washington,Houston,Furniture,Chairs,Wooden Bookcase,3,586.04,0.3,-0.96,2023,7,Jul,2023-07,-0.0016381134393556754,2023-07
ORD-00004,2023-11-12,Consumer,South,Texas,Miami,Technology,Phones,Smartphone,2,590.42,0.0,60.88,2023,11,Nov,2023-11,0.10311303817621355,2023-11
ORD-00005,2025-10-22,Corporate,West,Washington,New York City,Technology,Copiers,USB Hub,6,327.75,0.1,1.67,2025,10,Oct,2025-10,0.00509534706331045,2025-10
ORD-00006,2024-03-31,Home Office,East,Washington,Atlanta,Office Supplies,Paper,Marker Set,7,790.83,0.3,80.78,2024,3,Mar,2024-03,0.1021458467685849,2024-03
ORD-00007,2025-11-30,Consumer,Central,Florida,Miami,Technology,Phones,Wireless Keyboard,1,43.14,0.1,5.01,2025,11,Nov,2025-11,0.11613351877607787,2025-11
ORD-00008,2023-10-16,Home Office,Central,Georgia,New York City,Technology,Machines,Laser Printer,5,1390.93,0.15,252.72,2023,10,Oct,2023-10,0.18169138633863674,2023-10
ORD-00009,2025-08-18,Corporate,South,Florida,Atlanta,Office Supplies,Binders,Address Labels,3,197.0,0.15,33.07,2025,8,Aug,2025-08,0.16786802030456852,2025-08
ORD-00010,2025-06-10,Corporate,Central,Washington,Seattle,Technology,Accessories,Laser Printer,3,66.52,0.15,4.6,2025,6,Jun,2025-06,0.06915213469633193,2025-06
ORD-00011,2024-07-31,Consumer,South,New York,Chicago,Office Supplies,Labels,Address Labels,10,1216.02,0.15,213.0,2024,7,Jul,2024-07,0.17516159273696155,2024-07
ORD-00012,2023-07-09,Home Office,South,Florida,Los Angeles,Office Supplies,Storage,Copy Paper,1,422.76,0.15,3.67,2023,7,Jul,2023-07,0.008681048348945028,2023-07
ORD-00013,2024-11-14,Consumer,Central,Ohio,Chicago,Technology,Machines,Laser Printer,8,1415.51,0.05,207.72,2024,11,Nov,2024-11,0.14674569589759168,2024-11
ORD-00014,2025-08-09,Corporate,East,Florida,Miami,Furniture,Tables,Office Chair,1,414.84,0.3,45.46,2025,8,Aug,2025-08,0.10958441808890175,2025-08
ORD-00015,2023-09-04,Corporate,East,Texas,Chicago,Furniture,Chairs,Wooden Bookcase,4,139.66,0.05,11.26,2023,9,Sep,2023-09,0.08062437347844766,2023-09
ORD-00016,2025-01-21,Home Office,East,Ohio,New York City,Furniture,Furnishings,Conference Table,1,243.06,0.1,38.19,2025,1,Jan,2025-01,0.15712169834608739,2025-01
