Order_ID,Order_Date,Segment,Region,State,City,Category,Subcategory,Product,Quantity,Sales,Discount,Profit
ORD-00001,2025-11-10,Consumer,South,New York,Atlanta,Technology,Copiers,USB Hub,7,679.83,0.0,105.8
ORD-00002,2025-03-16,Corporate,East,Georgia,Miami,Technology,Accessories,USB Hub,2,289.1,0.0,34.68
ORD-00003,2023-07-09,Home Office,South,Washington,Houston,Furniture,Chairs,Wooden Bookcase,3,586.04,0.3,-0.96
ORD-00004,2023-11-12,Consumer,South,Texas,Miami,Technology,Phones,Smartphone,2,590.42,0.0,60.88
ORD-00005,2025-10-22,Corporate,West,Washington,New York City,Technology,Copiers,USB Hub,6,327.75,0.1,1.67
ORD-00006,2024-03-31,Home Office,East,Washington,Atlanta,Office Supplies,Paper,Marker Set,7,790.83,0.3,80.78
ORD-00007,2025-11-30,Consumer,Central,Florida,Miami,Technology,Phones,Wireless Keyboard,1,43.14,0.1,5.01
ORD-00008,2023-10-16,Home Office,Central,Georgia,New York City,Technology,Machines,Laser Printer,5,1390.93,0.15,252.72
ORD-00009,2025-08-18,Corporate,South,Florida,Atlanta,Office Supplies,Binders,Address Labels,3,197.0,0.15,33.07
ORD-00010,2025-06-10,Corporate,Central,Washington,Seattle,Technology,Accessories,Laser Printer,3,66.52,0.15,4.6
ORD-00011,2024-07-31,Consumer,South,New York,Chicago,Office Supplies,Labels,Address Labels,10,1216.02,0.15,213.0
ORD-00012,2023-07-09,Home Office,South,Florida,Los Angeles,Office Supplies,Storage,Copy Paper,1,422.76,0.15,3.67
ORD-00013,2024-11-14,Consumer,Central,Ohio,Chicago,Technology,Machines,Laser Printer,8,1415.51,0.05,207.72
ORD-00014,2025-08-09,Corporate,East,Florida,Miami,Furniture,Tables,Office Chair,1,414.84,0.3,45.46
ORD-00015,2023-09-04,Corporate,East,Texas,Chicago,Furniture,Chairs,Wooden Bookcase,4,139.66,0.05,11.26
ORD-00016,2025-01-21,Home Office,East,Ohio,New York City,Furniture,Furnishings,Conference Table,1,243.06,0.1,38.19
ORD-00017,2025-05-13,Home Office,East,New York,Seattle,Technology,Copiers,Laser Printer,7,278.06,0.15,14.93
ORD-00018,2023-09-20,Home Office,Central,California,Houston,Furniture,Bookcases,Desk Lamp,10,1473.61,0.1,73.94
ORD-00019,2023-01-09,Home Office,Central,Georgia,New York City,Office Supplies,Art,Address Labels,9,536.83,0.15,93.84
ORD-00020,2023-04-14,Corporate,South,California,Atlanta,Furniture,Furnishings,Desk Lamp,4,879.42,0.05,208.33
ORD-00021,2023-06-10,Consumer,East,New York,Atlanta,Office Supplies,Paper,Copy Paper,4,371.13,0.05,74.39
ORD-00022,2024-04-14,Home Office,West,California,Atlanta,Technology,Machines,Smartphone,7,390.68,0.1,94.08
ORD-00023,2025-08-17,Home Office,Central,Ohio,Los Angeles,Technology,Machines,Wireless Keyboard,1,308.96,0.15,30.2
ORD-00024,2025-12-05,Consumer,West,Florida,Columbus,Furniture,Furnishings,Office Chair,5,1327.57,0.15,304.54
ORD-00025,2023-09-10,Home Office,West,California,Miami,Office Supplies,Labels,Storage Box,5,302.55,,44.56
ORD-00026,2025-05-03,Corporate,West,Ohio,Atlanta,Office Supplies,Paper,Storage Box,7,227.32,0.1,46.55
ORD-00027,2025-01-28,Consumer,East,Georgia,Seattle,Furniture,Chairs,Wooden Bookcase,10,1218.97,0.2,230.28
ORD-00028,2024-02-04,Corporate,West,California,Atlanta,Furniture,Furnishings,Office Chair,3,520.23,0.05,27.13
